Gene,RRquadrant,Sample
Prrg1,downup,neuron_cluster_11
B230217J21Rik,downup,neuron_cluster_11
Zfhx3,downup,neuron_cluster_11
Msh5,downup,neuron_cluster_11
Schip1,downup,neuron_cluster_11
1700042O10Rik,downup,neuron_cluster_11
Ptchd4,downup,neuron_cluster_11
Fgf13,downup,neuron_cluster_11
Pdzrn4,downup,neuron_cluster_11
Pde10a,downup,neuron_cluster_11
Dock10,downup,neuron_cluster_11
Nkain3,downup,neuron_cluster_11
Gm16168,downup,neuron_cluster_11
Slc2a13,downup,neuron_cluster_11
Srgap2,downup,neuron_cluster_11
Rgs20,downup,neuron_cluster_11
Ptprb,downup,neuron_cluster_11
Rasgef1b,downup,neuron_cluster_11
Gria4,downup,neuron_cluster_11
Pltp,downup,neuron_cluster_11
Fgf14,downup,neuron_cluster_11
Megf10,downup,neuron_cluster_11
Gpc6,downup,neuron_cluster_11
Armc3,downup,neuron_cluster_11
