p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity,n_cells,prop
9.290829696078799e-8,0.2375772580595721,0.2,0.038,0.00202242780824243,13,Ryr1,0.005113091888636962,40,0.004089143324473523
9.80293108819439e-8,0.3460666393668055,0.325,0.088,0.00213390203927815,13,Csgalnact1,0.005226281007518995,40,0.004089143324473523
1.0261374680574668e-7,0.33617095336585207,0.275,0.067,0.00223369604046749,13,Prmt8,0.005642225115006199,40,0.004089143324473523
1.0309215327443237e-7,0.1464230353206,0.125,0.016,0.00224410999247784,13,Gm42456,0.004677693573674862,40,0.004089143324473523
1.050688150623685e-7,0.2709618864760943,0.3,0.076,0.00228713796627763,13,Commd7,0.004373692062909764,40,0.004089143324473523
1.1364715547635781e-7,0.12159778235928224,0.1,0.011,0.00247387128040935,13,1700064H15Rik,0.004520279636411303,40,0.004089143324473523
1.1388634742753993e-7,0.4895671171542578,0.525,0.197,0.00247907801080268,13,Zfp804a,0.005335039630565316,40,0.004089143324473523
1.2175157014133922e-7,0.3311651779508512,0.4,0.123,0.00265028817883667,13,Mcu,0.004403843501514828,40,0.004089143324473523
1.257663531925429e-7,0.357596310982606,0.5,0.177,0.00273768197629527,13,Klhl7,0.004130685220087236,40,0.004089143324473523
1.8844735179891972e-7,0.5477712041003278,0.725,0.402,0.00410212195395888,13,Atp2b2,0.004039647631528898,40,0.004089143324473523
2.059548095009076e-7,0.33086807647718264,0.325,0.091,0.00448322429321575,13,Grk3,0.004832024950743094,40,0.004089143324473523
2.2122656879627425e-7,0.2984526194339494,0.375,0.113,0.00481565994955729,13,Lmo4,0.004050051558949018,40,0.004089143324473523
2.582195261549368e-7,0.21755469997887492,0.175,0.032,0.00562092264534066,13,Gm15813,0.004865067534285308,40,0.004089143324473523
3.0940685350462177e-7,0.2375173964367389,0.25,0.058,0.0067351683870886,13,Pantr1,0.004186390845196647,40,0.004089143324473523
3.398934501896591e-7,0.11954870718754426,0.1,0.012,0.00739880062372849,13,Adamts19,0.00407376498287822,40,0.004089143324473523
3.611584576981233e-7,0.18660718655193892,0.175,0.032,0.00786169730717274,13,Sh2b1,0.004173003686182439,40,0.004089143324473523
3.706648287351622e-7,-1.1169573601996998,0.7,0.83,0.00806863199190701,13,Cntnap2,0.0038520230279849633,40,0.004089143324473523
4.000617768515868e-7,0.6318921153375947,0.975,0.661,0.00870854475850534,13,Nkain2,0.003811346429031277,40,0.004089143324473523
4.027964658287997e-7,0.18675063124913777,0.175,0.032,0.00876807346816131,13,Csrp2,0.004176211468590153,40,0.004089143324473523
4.402553703332281e-7,0.1204265259191527,0.1,0.012,0.0095834789014137,13,Gm48350,0.0041036777045986746,40,0.004089143324473523
4.5454567992800787e-7,0.2748572885477326,0.325,0.092,0.00989455036067287,13,Klf13,0.003970407882179919,40,0.004089143324473523
4.730503270310802e-7,0.37828950500522623,0.475,0.172,0.01029735951881255,13,Kcnab1,0.004271906988095896,40,0.004089143324473523
4.989767074073226e-7,0.30143705422706824,0.425,0.139,0.01086172496684259,13,Pard3b,0.0037688000731487138,40,0.004089143324473523
5.012377395757083e-7,0.4021381912807413,0.525,0.208,0.01091094311508402,13,Gm26691,0.00415053061396893,40,0.004089143324473523
5.197942620626314e-7,0.2989874425087017,0.325,0.094,0.01131488149657936,13,Hist3h2ba,0.004227083127730396,40,0.004089143324473523
5.277966222536604e-7,0.42092239724667063,0.675,0.309,0.01148907687321768,13,Dner,0.003759929149855229,40,0.004089143324473523
5.743663689086407e-7,-0.6819530478791098,0.65,0.839,0.01250280711840329,13,Gnas,0.0021604200711209803,40,0.004089143324473523
5.874490052256618e-7,0.20384456671434115,0.2,0.041,0.0127875899457522,13,Pcp4l1,0.004066095849805589,40,0.004089143324473523
6.036849825639474e-7,0.3324170714356932,0.35,0.108,0.013141014700452,13,Zzz3,0.004405142287137093,40,0.004089143324473523
6.623274474704838e-7,0.3750449268933475,0.5,0.187,0.01441754387653749,13,Kcnt2,0.004100568072683402,40,0.004089143324473523
7.02186973416845e-7,0.4437139208207264,0.625,0.279,0.01528520603733788,13,Esrrg,0.00406453812119186,40,0.004089143324473523
7.474561618066133e-7,0.21705694733212863,0.225,0.051,0.01627062573020635,13,9130019P16Rik,0.00391578073770783,40,0.004089143324473523
7.574501563337165e-7,0.25021903518228633,0.3,0.082,0.01648817500307234,13,4930567K20Rik,0.0037433469416043347,40,0.004089143324473523
7.903132092847301e-7,0.4456486772273632,0.825,0.448,0.01720353793971,13,Son,0.0033558372403446435,40,0.004089143324473523
8.046122631543369e-7,0.1432212493903297,0.125,0.018,0.0175147997443436,13,Itgav,0.004067029276855725,40,0.004089143324473523
8.347765393622993e-7,0.16478962627421076,0.15,0.026,0.01817141570883853,13,Gm14636,0.003887586924355821,40,0.004089143324473523
9.061625911684584e-7,0.4558498833723437,0.625,0.29,0.019725347284555,13,Rbfox3,0.0040173179042113216,40,0.004089143324473523
9.481533950168932e-7,0.16493398961459127,0.15,0.026,0.02063940310272773,13,Gm26652,0.0038909926304497564,40,0.004089143324473523
1.0973848492191089e-6,0.25685024260484823,0.325,0.094,0.02388787339780156,13,Mcc,0.0036313475835588454,40,0.004089143324473523
1.112305591279581e-6,0.11925621959589086,0.1,0.013,0.02421266811097392,13,Crybg3,0.0037511982635575827,40,0.004089143324473523
1.1541760597079734e-6,0.5245548547981975,0.675,0.352,0.02512410446772316,13,Eml6,0.004113242864779272,40,0.004089143324473523
1.1985395143248145e-6,0.4009881941456295,0.35,0.115,0.02608980814782256,13,4930545L23Rik,0.00499038581781872,40,0.004089143324473523
1.258872204941223e-6,0.11910999803382488,0.1,0.013,0.02740313015716054,13,Hmgb2,0.0037465988718313036,40,0.004089143324473523
1.327422635687618e-6,0.2873691203049332,0.375,0.122,0.02889533593364807,13,Map2k1,0.0036119677867461463,40,0.004089143324473523
1.3715886446955123e-6,0.199161639635117,0.2,0.043,0.02985674161773191,13,Arhgap29,0.0037879092521169297,40,0.004089143324473523
1.4261924645728786e-6,0.42698340267857393,0.45,0.168,0.03104535756882242,13,Ldlrad4,0.004676775885868073,40,0.004089143324473523
1.5327278815737257e-6,0.32284345022755745,0.525,0.202,0.03336442052609686,13,Ntng1,0.003431091079988657,40,0.004089143324473523
1.5372066479500772e-6,0.1825965146733996,0.175,0.035,0.03346191431257728,13,Frmpd1,0.0037333165952443174,40,0.004089143324473523
1.5456165729058162e-6,0.34529481772931847,0.5,0.195,0.0336449815590138,13,Cux1,0.0036204102535721647,40,0.004089143324473523
1.587769251336324e-6,0.5221888915298722,0.925,0.614,0.0345625610630891,13,Dab1,0.0032168686130620277,40,0.004089143324473523
1.683158314325438e-6,-0.9609936965328936,0.575,0.782,0.03663899018623613,13,Ctnna2,0.0028894418816460413,40,0.004089143324473523
1.8619407387906088e-6,0.3058892082757309,0.325,0.099,0.04053072600199397,13,Enox2,0.004106243076424129,40,0.004089143324473523
1.8975399672958475e-6,0.3239181069986188,0.35,0.114,0.04130565000809601,13,Cyfip1,0.004066593401037945,40,0.004089143324473523
1.9977943289416227e-6,0.22692686980546609,0.2,0.044,0.04348798695240124,13,Fat1,0.004217893158221336,40,0.004089143324473523
2.0152502685423446e-6,-0.839492351962063,0.5,0.762,0.04386796784562975,13,Adgrb3,0.0022524964218977998,40,0.004089143324473523
2.1435010327744764e-6,0.31895913417491084,0.425,0.154,0.0466597304814348,13,Dlgap4,0.003599445364115301,40,0.004089143324473523
2.16397154247304e-6,0.27797077659079905,0.3,0.088,0.04710533253655313,13,Gucy1a1,0.0038749852687329097,40,0.004089143324473523
2.1889238900472483e-6,0.2744992422321793,0.35,0.111,0.0476484952385485,13,Wscd2,0.003539309552985268,40,0.004089143324473523
2.2498541776232015e-6,0.5840693804175414,0.85,0.598,0.04897482573850185,13,Rims2,0.0033948025029585443,40,0.004089143324473523
2.302825139350195e-6,0.2877001076153358,0.4,0.138,0.05012789763337504,13,Pak2,0.0034099912304509116,40,0.004089143324473523
2.378191753696067e-6,0.4180333565496918,0.5,0.2,0.05176847809445599,13,8030451O07Rik,0.004273495773356081,40,0.004089143324473523
