p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity
1.8043569306748397e-8,-2.0145719376792917,0.027,0.102,3.927724166692991e-4,5,Nfib,-0.5332690423268713
1.8554869981492546e-8,-0.46251669053515254,0.507,0.608,4.0390240975712974e-4,5,Rpl19,-0.38568414819296437
2.1073843731828403e-8,-0.4542840077527275,0.463,0.576,4.5873543035444066e-4,5,Ly6h,-0.3651623187317931
2.2299085379322967e-8,0.46369421610700495,0.522,0.411,4.8540649053710233e-4,5,Mir100hg,0.5889255007490429
2.3498578099155763e-8,1.177807914590717,0.102,0.047,5.115170480624226e-4,5,Zfp563,2.556093772090492
2.4038095522578906e-8,0.4534763488970515,0.514,0.396,5.232612633354976e-4,5,Cwc22,0.5886031397300113
2.88124378552767e-8,-0.68606627467911,0.259,0.371,6.271891472336632e-4,5,mt-Nd5,-0.47895192760617117
2.8886216090929567e-8,0.6500537299030169,0.299,0.2,6.287951518673548e-4,5,Tmcc3,0.9718303262050102
3.056180251756318e-8,0.5744234250414173,0.298,0.195,6.652693172023153e-4,5,Ephb1,0.877836823909448
3.360049970368391e-8,-0.5192844225461882,0.403,0.515,7.314156775497914e-4,5,Rpl37a,-0.40635266463323083
3.558990266144638e-8,-0.38517232714894645,0.839,0.848,7.747210011343648e-4,5,Fth1,-0.38108441329948833
3.684111853006401e-8,0.5137973948721084,0.317,0.213,8.019574681624334e-4,5,Dock4,0.7646656064528563
4.301392154431747e-8,0.6505987633319554,0.296,0.197,9.363270441767027e-4,5,Gm48091,0.9775494108947147
4.625609082128539e-8,0.582557809467724,0.274,0.178,0.0010069025849977404,5,Fstl4,0.8967462909784066
5.366593770418528e-8,0.61180179224887965,0.294,0.196,0.0011682001319447053,5,Fut8,0.9177026883733194
5.453412857026869e-8,0.43351632333563683,0.43,0.319,0.001187098910717609,5,Spock1,0.584363696032363
5.7239280945653546e-8,0.2351916198174106,0.543,0.406,0.0012459846676249864,5,Plcb1,0.3145543092631871
5.7447937709068845e-8,0.9108046065539779,0.146,0.079,0.0012505267080510107,5,4930567K20Rik,1.6832591462896298
6.009783433897265e-8,-0.46142424865856,0.603,0.673,0.0013082096578907567,5,Rplp1,-0.4134306418144304
6.059901410857185e-8,-0.6718611817260451,0.217,0.33,0.001319119339115392,5,Ptma,-0.4417996255592479
6.460525293544646e-8,0.8877655272509104,0.155,0.086,0.0014063271458987987,5,9630013A20Rik,1.6000425200452455
6.55451568525684e-8,-0.4927831376890055,0.422,0.533,0.001426786974366709,5,Gapdh,-0.3901585067631525
7.394373401387982e-8,-0.49092406169257713,0.489,0.581,0.0016096072020141358,5,Rpl37,-0.4131873772249057
7.678275370167076e-8,0.7506429365068359,0.209,0.127,0.0016714069825779691,5,Gm21798,1.2353100293695174
8.366197728950966e-8,-0.6161014764019355,0.307,0.419,0.0018211539216380463,5,Dbi,-0.4514156402276711
1.0098373877614581e-7,0.5543592611534196,0.353,0.251,0.002198214025679142,5,Nol4,0.7796367298293112
1.0310674923443511e-7,0.9506206440160239,0.127,0.066,0.0022444277173351837,5,Igsf21,1.8292245725762881
1.2711056679015886e-7,0.8350463162861894,0.155,0.087,0.002766942817888178,5,Tbc1d32,1.4877261956822916
1.3558580821854744e-7,-0.493663579385114,0.501,0.589,0.0029514318733013406,5,Rps21,-0.4199073909540613
1.4335594348970406e-7,0.5397819621384455,0.357,0.255,0.003120572177883878,5,Thsd7b,0.7556947469938237
1.445433411049241e-7,-0.5734909629712427,0.274,0.386,0.003146419449171988,5,Rps4x,-0.40708944003658165
1.5690162281799927e-7,0.6840923602682587,0.238,0.153,0.003415434525502208,5,4930570B17Rik,1.0641436715284025
1.583871746344326e-7,0.22301416051890732,0.852,0.755,0.003447772017442329,5,Adgrb3,0.25166631094319075
